query,status,ms,results
q00463.rq,ERROR,1009.6,0
q00464.rq,ERROR,1037.1,0
q00465.rq,ERROR,1015.2,0
q00466.rq,ERROR,1048.2,0
q00467.rq,ERROR,1017.8,0
q00468.rq,ERROR,1056.7,0
q00469.rq,ERROR,996.9,0
q00470.rq,ERROR,1039.2,0
q00471.rq,ERROR,1037.4,0
q00472.rq,ERROR,1047.6,0
q00473.rq,ERROR,1015.8,0
q00474.rq,ERROR,1063.8,0
q00475.rq,ERROR,1019.5,0
q00476.rq,ERROR,1045.8,0
q00477.rq,ERROR,1035.2,0
q00478.rq,ERROR,1059.9,0
q00479.rq,ERROR,1026.2,0
q00480.rq,ERROR,1060.3,0
q00481.rq,ERROR,1020.3,0
q00482.rq,ERROR,1041.0,0
q00483.rq,ERROR,1010.4,0
q00484.rq,ERROR,1030.5,0
q00485.rq,ERROR,997.0,0
q00486.rq,ERROR,1037.9,0
q00487.rq,ERROR,1003.1,0
q00488.rq,ERROR,1052.9,0
q00489.rq,ERROR,1006.8,0
q00490.rq,ERROR,1024.0,0
q00491.rq,ERROR,1007.2,0
q00492.rq,ERROR,1036.7,0
q00493.rq,ERROR,990.5,0
q00494.rq,ERROR,1035.7,0
q00495.rq,ERROR,1011.1,0
q00496.rq,ERROR,1028.7,0
q00497.rq,ERROR,1004.7,0
q00498.rq,ERROR,1043.0,0
q00499.rq,ERROR,1002.7,0
q00500.rq,ERROR,1043.1,0
q00501.rq,ERROR,1006.5,0
q00502.rq,ERROR,1047.8,0
q00503.rq,ERROR,1016.0,0
q00504.rq,ERROR,1043.3,0
q00505.rq,ERROR,1012.6,0
q00506.rq,ERROR,1055.0,0
q00507.rq,ERROR,1007.7,0
q00508.rq,ERROR,1049.8,0
q00509.rq,ERROR,1017.4,0
q00510.rq,ERROR,1046.1,0
q00511.rq,ERROR,990.1,0
q00512.rq,ERROR,1048.0,0
q00513.rq,ERROR,1000.1,0
q00514.rq,ERROR,1032.9,0
q00515.rq,ERROR,1002.4,0
q00516.rq,ERROR,1047.8,0
q00517.rq,ERROR,993.4,0
q00518.rq,ERROR,1046.0,0
q00519.rq,ERROR,1013.9,0
q00520.rq,ERROR,1037.4,0
q00521.rq,ERROR,1005.4,0
q00522.rq,ERROR,1053.6,0
q00523.rq,ERROR,1015.4,0
q00524.rq,ERROR,1054.3,0
q00525.rq,ERROR,1003.2,0
q00526.rq,ERROR,1032.2,0
q00527.rq,ERROR,1011.3,0
q00528.rq,ERROR,1046.9,0
q00529.rq,ERROR,1009.4,0
q00530.rq,ERROR,1056.8,0
q00531.rq,ERROR,1008.6,0
q00532.rq,ERROR,1045.5,0
q00533.rq,ERROR,1007.9,0
q00534.rq,ERROR,1032.2,0
q00535.rq,ERROR,999.4,0
q00536.rq,ERROR,1038.7,0
q00537.rq,ERROR,997.6,0
q00538.rq,ERROR,1033.4,0
q00539.rq,ERROR,1002.9,0
q00540.rq,ERROR,1051.2,0
q00541.rq,ERROR,1009.0,0
q00542.rq,ERROR,1045.0,0
q00543.rq,ERROR,1020.3,0
q00544.rq,ERROR,1033.7,0
q00545.rq,ERROR,994.0,0
q00546.rq,ERROR,1047.5,0
q00547.rq,ERROR,1011.5,0
q00548.rq,ERROR,1041.4,0
q00549.rq,ERROR,993.1,0
q00550.rq,ERROR,1038.1,0
q00551.rq,ERROR,1001.9,0
q00552.rq,ERROR,1031.8,0
q00553.rq,ERROR,1004.4,0
q00554.rq,ERROR,1038.2,0
q00555.rq,ERROR,1008.0,0
q00556.rq,ERROR,1031.0,0
q00557.rq,ERROR,1015.0,0
q00558.rq,ERROR,1036.0,0
q00559.rq,ERROR,1001.9,0
q00560.rq,ERROR,1036.9,0
q00561.rq,ERROR,1002.4,0
q00562.rq,ERROR,1041.2,0
q00563.rq,ERROR,1014.5,0
q00564.rq,ERROR,1050.7,0
q00565.rq,ERROR,1006.2,0
q00566.rq,ERROR,1051.2,0
q00567.rq,ERROR,1017.9,0
q00568.rq,ERROR,1040.3,0
q00569.rq,ERROR,1008.2,0
q00570.rq,ERROR,1039.5,0
q00571.rq,ERROR,1000.7,0
q00572.rq,ERROR,1036.2,0
q00573.rq,ERROR,1013.4,0
q00574.rq,ERROR,1047.9,0
q00575.rq,ERROR,1020.5,0
q00576.rq,ERROR,1038.8,0
q00577.rq,ERROR,1002.7,0
q00578.rq,ERROR,1040.8,0
q00579.rq,ERROR,1022.1,0
q00580.rq,ERROR,1054.0,0
q00581.rq,ERROR,1017.9,0
q00582.rq,ERROR,1054.3,0
q00583.rq,ERROR,1024.3,0
q00584.rq,ERROR,1065.5,0
q00585.rq,ERROR,1017.5,0
q00586.rq,ERROR,1056.8,0
q00587.rq,ERROR,1020.2,0
q00588.rq,ERROR,1064.1,0
q00589.rq,ERROR,1022.3,0
q00590.rq,ERROR,1060.1,0
q00591.rq,ERROR,993.8,0
q00592.rq,ERROR,1058.2,0
q00593.rq,ERROR,1018.9,0
q00594.rq,ERROR,1039.1,0
q00595.rq,ERROR,1006.8,0
q00596.rq,ERROR,1033.0,0
q00597.rq,ERROR,991.4,0
q00598.rq,ERROR,1042.7,0
q00599.rq,ERROR,996.0,0
q00600.rq,ERROR,1046.2,0
q00601.rq,ERROR,1022.0,0
q00602.rq,ERROR,1044.3,0
q00603.rq,ERROR,986.3,0
q00604.rq,ERROR,1043.8,0
q00605.rq,ERROR,1015.9,0
q00606.rq,ERROR,1047.1,0
q00607.rq,ERROR,999.7,0
q00608.rq,ERROR,1055.9,0
q00609.rq,ERROR,1002.8,0
q00610.rq,OK,33.5,83067
q00611.rq,OK,3.0,4536
q00612.rq,OK,35.9,100000
q00613.rq,OK,41.8,100000
q00614.rq,OK,1.8,1778
q00615.rq,OK,0.4,0
q00616.rq,OK,4.5,7641
q00617.rq,OK,40.9,100000
q00618.rq,OK,9.4,19800
q00619.rq,OK,18.9,50104
q00620.rq,OK,3.0,4890
q00621.rq,OK,125.5,100000
q00622.rq,ERROR,1147.4,0
q00623.rq,OK,309.6,100000
q00624.rq,OK,65.2,100000
q00625.rq,OK,15.9,27850
q00626.rq,OK,751.7,100000
q00627.rq,OK,7.9,14027
q00628.rq,OK,0.8,78
q00629.rq,OK,0.4,29
q00630.rq,ERROR,8206.7,0
q00631.rq,OK,0.9,228
q00632.rq,OK,0.4,16
